Player,Avg Approach >100
Corey Conners (2019),29.58
Justin Thomas (2019),29.75
Patrick Cantlay (2019),29.92
Adam Svensson (2019),29.92
Tom Hoge (2019),30
Chez Reavie (2019),30
Adam Scott (2019),30.17
Rory McIlroy (2019),30.25
Gary Woodland (2019),30.42
Jason Kokrak (2019),30.5
Brooks Koepka (2019),30.5
Talor Gooch (2019),30.5
Hideki Matsuyama (2019),30.67
Charley Hoffman (2019),30.67
Ryan Armour (2019),30.83
Justin Rose (2019),30.92
Russell Henley (2019),30.92
Whee Kim (2019),30.92
Joel Dahmen (2019),31
Chesson Hadley (2019),31
Jim Furyk (2019),31
Nick Watney (2019),31
Keegan Bradley (2019),31.08
Joaquin Niemann (2019),31.08
Emiliano Grillo (2019),31.17
Josh Teater (2019),31.25
Vaughn Taylor (2019),31.25
Paul Casey (2019),31.33
Bronson Burgoon (2019),31.33
Rickie Fowler (2019),31.33
Adam Hadwin (2019),31.33
Russell Knox (2019),31.42
Kyle Stanley (2019),31.42
Ryan Palmer (2019),31.42
Marc Leishman (2019),31.67
Tyrrell Hatton (2019),31.67
Trey Mullinax (2019),31.67
Abraham Ancer (2019),31.75
Sam Ryder (2019),31.75
Tyler Duncan (2019),31.83
Cameron Smith (2019),31.83
Tony Finau (2019),31.83
Andrew Landry (2019),31.83
J.B. Holmes (2019),31.83
Jason Dufner (2019),31.83
Phil Mickelson (2019),31.92
Byeong Hun An (2019),31.92
Hank Lebioda (2019),31.92
Sepp Straka (2019),31.92
Max Homa (2019),32
Roger Sloan (2019),32
Roberto Castro (2019),32.08
Alex Cejka (2019),32.08
Louis Oosthuizen (2019),32.17
Zach Johnson (2019),32.17
Nate Lashley (2019),32.17
Troy Merritt (2019),32.17
Xander Schauffele (2019),32.17
Harold Varner III (2019),32.17
Chase Wright (2019),32.25
Kramer Hickok (2019),32.25
Brian Stuard (2019),32.25
Scott Stallings (2019),32.25
Wes Roach (2019),32.25
Brandon Harkins (2019),32.33
Tommy Fleetwood (2019),32.33
Shawn Stefani (2019),32.33
Webb Simpson (2019),32.33
Scott Piercy (2019),32.33
Lucas Glover (2019),32.33
Brendan Steele (2019),32.42
Dustin Johnson (2019),32.42
Alex Prugh (2019),32.42
J.T. Poston (2019),32.42
Sebastián Muñoz (2019),32.42
Jon Rahm (2019),32.42
Austin Cook (2019),32.5
Scott Brown (2019),32.5
Hudson Swafford (2019),32.58
Kevin Kisner (2019),32.67
Brian Harman (2019),32.75
Ryan Moore (2019),32.75
Adam Schenk (2019),32.75
Cody Gribble (2019),32.75
Anders Albertson (2019),32.83
Peter Uihlein (2019),32.83
Brady Schnell (2019),32.83
Jim Herman (2019),32.83
Branden Grace (2019),32.92
Danny Lee (2019),32.92
Bryson DeChambeau (2019),32.92
Fabián Gómez (2019),33
David Hearn (2019),33
Jason Day (2019),33.08
Sam Saunders (2019),33.08
Ian Poulter (2019),33.08
Bud Cauley (2019),33.08
Adam Long (2019),33.17
Matt Kuchar (2019),33.17
Jonas Blixt (2019),33.17
Jhonattan Vegas (2019),33.17
Kevin Streelman (2019),33.17
Michael Kim (2019),33.17
Sung Kang (2019),33.25
Andrew Putnam (2019),33.25
C.T. Pan (2019),33.25
Danny Willett (2019),33.33
Peter Malnati (2019),33.33
Richy Werenski (2019),33.33
Daniel Berger (2019),33.42
Scott Langley (2019),33.42
Michael Thompson (2019),33.42
Martin Laird (2019),33.42
Luke List (2019),33.42
Sergio Garcia (2019),33.5
Cameron Tringale (2019),33.5
Carlos Ortiz (2019),33.5
Keith Mitchell (2019),33.5
Matthew Fitzpatrick (2019),33.67
Cameron Davis (2019),33.67
Patton Kizzire (2019),33.67
Henrik Stenson (2019),33.67
Rory Sabbatini (2019),33.75
Si Woo Kim (2019),33.75
Sam Burns (2019),33.75
Cameron Champ (2019),33.75
Dylan Frittelli (2019),33.83
Satoshi Kodaira (2019),33.83
Patrick Reed (2019),33.83
Robert Streb (2019),33.83
Kelly Kraft (2019),33.92
"Ted Potter, Jr. (2019)",33.92
Aaron Wise (2019),33.92
Sungjae Im (2019),33.92
Francesco Molinari (2019),34.08
Graeme McDowell (2019),34.08
Jimmy Walker (2019),34.08
Anirban Lahiri (2019),34.08
Stephan Jaeger (2019),34.17
Bubba Watson (2019),34.17
Brice Garnett (2019),34.17
Ollie Schniederjans (2019),34.17
Ben Silverman (2019),34.25
Joey Garber (2019),34.33
Billy Horschel (2019),34.33
José de Jesús Rodríguez (2019),34.33
Seamus Power (2019),34.42
Johnson Wagner (2019),34.42
Freddie Jacobson (2019),34.42
J.J. Henry (2019),34.42
Jonathan Byrd (2019),34.5
Kevin Na (2019),34.5
Jim Knous (2019),34.5
Mackenzie Hughes (2019),34.5
Roberto Díaz (2019),34.58
Kyoung-Hoon Lee (2019),34.67
Charles Howell III (2019),34.67
Chris Stroud (2019),34.67
Nick Taylor (2019),34.75
Matt Jones (2019),34.75
Patrick Rodgers (2019),34.75
Seth Reeves (2019),34.75
Jordan Spieth (2019),34.83
Rod Pampling (2019),34.83
Brian Gay (2019),34.92
J.J. Spaun (2019),34.92
Dominic Bozzelli (2019),34.92
Alex Noren (2019),35
Kevin Tway (2019),35
