Player,Avg Approach <100
Justin Rose (2015),12.42
Francesco Molinari (2015),13.33
Webb Simpson (2015),13.33
Rickie Fowler (2015),13.33
Roberto Castro (2015),13.58
Greg Owen (2015),13.67
Stewart Cink (2015),13.92
Justin Leonard (2015),14.08
Ken Duke (2015),14.17
Michael Putnam (2015),14.25
Brandt Snedeker (2015),14.25
Jim Renner (2015),14.33
Phil Mickelson (2015),14.33
D.A. Points (2015),14.5
Ryo Ishikawa (2015),14.5
Scott Pinckney (2015),14.58
Alex Prugh (2015),14.67
Jon Curran (2015),14.75
Ryan Moore (2015),14.83
Ernie Els (2015),14.83
Chad Campbell (2015),14.92
Scott Langley (2015),14.92
Jason Day (2015),15
Sam Saunders (2015),15
Danny Lee (2015),15.08
Jason Dufner (2015),15.08
Russell Henley (2015),15.08
Justin Thomas (2015),15.17
Nick Taylor (2015),15.17
Seung-Yul Noh (2015),15.25
Jeff Overton (2015),15.33
Derek Fathauer (2015),15.33
Lucas Glover (2015),15.33
J.B. Holmes (2015),15.33
Ryan Palmer (2015),15.33
Adam Scott (2015),15.42
Greg Chalmers (2015),15.42
Jimmy Walker (2015),15.42
Scott Piercy (2015),15.42
Daniel Berger (2015),15.42
Roger Sloan (2015),15.5
Alex Cejka (2015),15.5
David Toms (2015),15.5
Sergio Garcia (2015),15.58
Zach Johnson (2015),15.58
Andrew Putnam (2015),15.58
Cameron Tringale (2015),15.67
Heath Slocum (2015),15.67
Colt Knost (2015),15.67
Matt Jones (2015),15.75
Louis Oosthuizen (2015),15.75
Charley Hoffman (2015),15.75
Bill Lunde (2015),15.83
Matt Every (2015),15.83
Luke Guthrie (2015),15.83
Andres Gonzales (2015),15.92
Tyrone Van Aswegen (2015),15.92
Martin Laird (2015),15.92
Chris Stroud (2015),15.92
Matt Kuchar (2015),15.92
K.J. Choi (2015),16
Luke Donald (2015),16
Ricky Barnes (2015),16
Tim Wilkinson (2015),16
Chad Collins (2015),16
Brendon Todd (2015),16.08
Martin Flores (2015),16.08
Pat Perez (2015),16.08
Jamie Donaldson (2015),16.17
Eric Axley (2015),16.17
Nick Watney (2015),16.17
Whee Kim (2015),16.17
Hideki Matsuyama (2015),16.25
Hudson Swafford (2015),16.33
Sean O'Hair (2015),16.33
Dustin Johnson (2015),16.33
Bo Van Pelt (2015),16.33
Bill Haas (2015),16.42
Vijay Singh (2015),16.42
Brice Garnett (2015),16.42
David Lingmerth (2015),16.42
James Hahn (2015),16.42
Tom Hoge (2015),16.5
William McGirt (2015),16.58
Jonas Blixt (2015),16.58
John Senden (2015),16.58
Rory Sabbatini (2015),16.58
Paul Casey (2015),16.67
Jonathan Byrd (2015),16.75
Fabián Gómez (2015),16.75
Billy Hurley III (2015),16.75
Kyle Reifers (2015),16.75
Jason Bohn (2015),16.83
Hunter Mahan (2015),16.83
Shawn Stefani (2015),16.83
Bryce Molder (2015),16.92
Steven Alker (2015),16.92
Oscar Fraustro (2015),17
Boo Weekley (2015),17
David Hearn (2015),17
Jerry Kelly (2015),17.08
Brendon de Jonge (2015),17.08
Cameron Percy (2015),17.08
Zac Blair (2015),17.08
Steven Bowditch (2015),17.17
Carl Pettersson (2015),17.17
Russell Knox (2015),17.25
Patrick Reed (2015),17.25
Max Homa (2015),17.33
Byron Smith (2015),17.33
Steve Wheatcroft (2015),17.33
Kevin Streelman (2015),17.42
Scott Brown (2015),17.42
Geoff Ogilvy (2015),17.42
Mark Wilson (2015),17.5
Robert Allenby (2015),17.5
Brian Harman (2015),17.5
Camilo Villegas (2015),17.5
Charlie Beljan (2015),17.5
John Huh (2015),17.58
Chris Kirk (2015),17.58
Charles Howell III (2015),17.58
Kevin Na (2015),17.58
Jim Herman (2015),17.75
Brian Stuard (2015),17.75
Mark Hubbard (2015),17.75
Blayne Barber (2015),17.75
Charl Schwartzel (2015),17.83
Ben Crane (2015),17.83
Brian Davis (2015),17.83
Retief Goosen (2015),17.83
Andres Romero (2015),17.92
Jim Furyk (2015),18
George McNeill (2015),18
Henrik Stenson (2015),18.08
Tony Finau (2015),18.08
Brendan Steele (2015),18.25
Robert Streb (2015),18.25
Chesson Hadley (2015),18.33
Jordan Spieth (2015),18.33
Sangmoon Bae (2015),18.33
Billy Horschel (2015),18.42
Lee Westwood (2015),18.42
Gonzalo Fernandez-Castaño (2015),18.5
Kevin Kisner (2015),18.5
Gary Woodland (2015),18.5
Graham DeLaet (2015),18.5
J.J. Henry (2015),18.58
Padraig Harrington (2015),18.67
Adam Hadwin (2015),18.67
Morgan Hoffmann (2015),18.75
Johnson Wagner (2015),18.83
Jhonattan Vegas (2015),18.83
Nicholas Thompson (2015),18.92
Michael Thompson (2015),18.92
Brooks Koepka (2015),18.92
John Peterson (2015),19
Kevin Chappell (2015),19
Will Wilcox (2015),19.08
Jason Kokrak (2015),19.08
Aaron Baddeley (2015),19.08
Andrew Svoboda (2015),19.17
Chez Reavie (2015),19.17
John Merrick (2015),19.25
Spencer Levin (2015),19.33
Robert Garrigus (2015),19.33
Marc Leishman (2015),19.42
Daniel Summerhays (2015),19.5
Harris English (2015),19.5
Patrick Rodgers (2015),19.58
Carlos Ortiz (2015),19.75
Erik Compton (2015),19.75
Jonathan Randolph (2015),19.83
Derek Ernst (2015),19.83
Ben Martin (2015),20
Scott Stallings (2015),20
Ian Poulter (2015),20.33
Sung Joon Park (2015),20.42
Troy Merritt (2015),20.75
Keegan Bradley (2015),20.83
Jason Gore (2015),20.92
Bubba Watson (2015),21
Davis Love III (2015),25.92
Ángel Cabrera (2015),27.25
Phil Mickelson (2017),13.17
Daniel Berger (2017),13.5
Kelly Kraft (2017),13.92
Wesley Bryan (2017),13.92
Matt Every (2017),14.17
Jason Day (2017),14.33
Bryce Molder (2017),14.5
Brian Stuard (2017),14.5
Jordan Spieth (2017),14.5
Rafa Cabrera Bello (2017),14.58
Scott Piercy (2017),14.67
Kyle Reifers (2017),14.75
Ryo Ishikawa (2017),14.75
Brian Gay (2017),14.83
Ryan Moore (2017),14.92
Justin Thomas (2017),14.92
Steve Wheatcroft (2017),15.08
Mark Anderson (2017),15.08
Smylie Kaufman (2017),15.08
Lucas Glover (2017),15.25
Webb Simpson (2017),15.25
Vaughn Taylor (2017),15.33
Chris Stroud (2017),15.33
Pat Perez (2017),15.5
Bud Cauley (2017),15.5
Jim Furyk (2017),15.58
Stewart Cink (2017),15.58
Zach Johnson (2017),15.67
Gonzalo Fernandez-Castaño (2017),15.67
Dustin Johnson (2017),15.67
Roberto Castro (2017),15.67
Kevin Na (2017),15.75
Rory McIlroy (2017),15.75
Morgan Hoffmann (2017),15.83
Andres Gonzales (2017),15.92
Adam Hadwin (2017),15.92
Sergio Garcia (2017),16
Francesco Molinari (2017),16
Bryson DeChambeau (2017),16
Xander Schauffele (2017),16
D.A. Points (2017),16.08
Charl Schwartzel (2017),16.08
Richy Werenski (2017),16.17
Miguel Angel Carballo (2017),16.25
Dominic Bozzelli (2017),16.25
Johnson Wagner (2017),16.33
J.B. Holmes (2017),16.33
Sam Saunders (2017),16.33
Kyle Stanley (2017),16.33
Tom Hoge (2017),16.33
Blayne Barber (2017),16.33
Troy Merritt (2017),16.42
Russell Knox (2017),16.42
Brooks Koepka (2017),16.42
Matt Kuchar (2017),16.5
Seamus Power (2017),16.5
Kevin Kisner (2017),16.5
Jimmy Walker (2017),16.58
Cameron Smith (2017),16.58
Tim Wilkinson (2017),16.67
Billy Hurley III (2017),16.67
Brendan Steele (2017),16.67
Rickie Fowler (2017),16.67
Hideki Matsuyama (2017),16.67
Jason Dufner (2017),16.75
Søren Kjeldsen (2017),16.83
Tyrone Van Aswegen (2017),16.83
Emiliano Grillo (2017),16.83
Bill Haas (2017),16.92
Graeme McDowell (2017),16.92
Camilo Villegas (2017),16.92
Peter Malnati (2017),16.92
J.T. Poston (2017),16.92
Charles Howell III (2017),17
Danny Lee (2017),17
Ollie Schniederjans (2017),17
Scott Stallings (2017),17.08
Michael Kim (2017),17.08
Aaron Baddeley (2017),17.17
Brad Fritsch (2017),17.17
Luke Donald (2017),17.25
Adam Scott (2017),17.25
Brian Harman (2017),17.25
Michael Thompson (2017),17.25
Patrick Reed (2017),17.25
Rory Sabbatini (2017),17.33
Carl Pettersson (2017),17.33
Spencer Levin (2017),17.33
Matt Jones (2017),17.42
Jhonattan Vegas (2017),17.42
James Hahn (2017),17.42
Ricky Barnes (2017),17.5
Ryan Blaum (2017),17.5
Ryan Brehm (2017),17.5
Rod Pampling (2017),17.58
Paul Casey (2017),17.58
Nick Watney (2017),17.58
Branden Grace (2017),17.58
Jon Rahm (2017),17.67
Sebastián Muñoz (2017),17.67
Charley Hoffman (2017),17.75
Martin Laird (2017),17.75
Sung Kang (2017),17.75
