Player,Avg Ball Speed
Cameron Champ (2019),190.7
Seth Reeves (2019),183.52
Peter Uihlein (2019),183.01
Trey Mullinax (2019),182.98
Ollie Schniederjans (2019),182.8
Kevin Tway (2019),182.18
Jhonattan Vegas (2019),181.69
Wyndham Clark (2019),181.55
Luke List (2019),181.53
Keith Mitchell (2019),181.4
Bubba Watson (2019),181.19
Tony Finau (2019),180.76
Gary Woodland (2019),180.47
Adam Schenk (2019),180.1
Nick Watney (2019),179.61
Rory McIlroy (2019),179.45
Adam Scott (2019),179.36
J.B. Holmes (2019),179.31
Alex Noren (2019),179.26
Sam Burns (2019),179.23
Jason Kokrak (2019),179.08
Brooks Koepka (2019),178.89
Dustin Johnson (2019),178.82
Cameron Davis (2019),178.75
Xander Schauffele (2019),178.67
Patrick Rodgers (2019),178.55
Phil Mickelson (2019),178.05
Sergio Garcia (2019),177.79
Harris English (2019),177.52
Max Homa (2019),177.26
Seamus Power (2019),177.09
Martin Trainer (2019),176.8
Jason Day (2019),176.6
Justin Thomas (2019),176.17
Charles Howell III (2019),176.1
Talor Gooch (2019),175.81
Jon Rahm (2019),175.78
Byeong Hun An (2019),175.7
Carlos Ortiz (2019),175.62
Joaquin Niemann (2019),175.62
Patrick Cantlay (2019),175.52
Bryson DeChambeau (2019),175.4
John Chin (2019),175.21
Cameron Tringale (2019),175.07
Sebastián Muñoz (2019),175.02
Brandon Harkins (2019),175
Alex Prugh (2019),174.62
Hudson Swafford (2019),174.58
Paul Casey (2019),174.48
Marc Leishman (2019),174.47
Hideki Matsuyama (2019),174.43
Rickie Fowler (2019),174.35
Aaron Wise (2019),174.29
Jim Knous (2019),174.11
Charley Hoffman (2019),174.07
Tommy Fleetwood (2019),173.91
Daniel Berger (2019),173.87
Scott Stallings (2019),173.71
Matt Jones (2019),173.54
Harold Varner III (2019),173.51
Mackenzie Hughes (2019),173.37
Ryan Palmer (2019),173.36
Justin Rose (2019),173.1
Sepp Straka (2019),172.9
Branden Grace (2019),172.89
Chesson Hadley (2019),172.83
Martin Laird (2019),172.6
Corey Conners (2019),172.57
Patrick Reed (2019),172.52
Chase Wright (2019),172.51
Cody Gribble (2019),172.47
Jimmy Walker (2019),172.19
Sam Saunders (2019),172.12
Dominic Bozzelli (2019),172.06
Patton Kizzire (2019),172.02
