Player,AvgClubheadSpeed
Cameron Champ (2019),128.01
Jhonattan Vegas (2019),124.7
Peter Uihlein (2019),123.39
Adam Schenk (2019),123.25
Seth Reeves (2019),122.73
Ollie Schniederjans (2019),122.24
Gary Woodland (2019),122.2
Brooks Koepka (2019),122.09
Trey Mullinax (2019),122.04
Keith Mitchell (2019),122.03
Luke List (2019),121.9
Tony Finau (2019),121.8
Kevin Tway (2019),121.51
Bubba Watson (2019),121.5
Rory McIlroy (2019),121.5
Wyndham Clark (2019),121.07
Sergio Garcia (2019),121.01
Alex Noren (2019),120.58
Xander Schauffele (2019),120.38
Adam Scott (2019),120.29
Patrick Rodgers (2019),120.23
Talor Gooch (2019),120.16
Sam Burns (2019),120.12
Phil Mickelson (2019),120.11
J.B. Holmes (2019),120.09
Cameron Tringale (2019),119.94
Jason Kokrak (2019),119.87
Seamus Power (2019),119.7
Nick Watney (2019),119.67
Dustin Johnson (2019),119.18
Sebastián Muñoz (2019),119.18
Cameron Davis (2019),118.91
Max Homa (2019),118.78
Jon Rahm (2019),118.56
Bryson DeChambeau (2019),118.24
John Chin (2019),118.05
Martin Trainer (2019),118.03
Harris English (2019),117.99
Charles Howell III (2019),117.68
Jason Day (2019),117.62
Alex Prugh (2019),117.33
Hudson Swafford (2019),117.31
Joaquin Niemann (2019),117.3
Carlos Ortiz (2019),117.21
Justin Thomas (2019),117.2
Hideki Matsuyama (2019),117.11
Marc Leishman (2019),117.08
Shawn Stefani (2019),117.04
Patrick Reed (2019),116.79
Mackenzie Hughes (2019),116.59
Byeong Hun An (2019),116.56
Aaron Wise (2019),116.54
Brandon Harkins (2019),116.44
Daniel Berger (2019),116.4
Paul Casey (2019),116.35
Matt Jones (2019),116.31
Patrick Cantlay (2019),116.27
Ryan Palmer (2019),116.15
Sam Ryder (2019),116.12
Danny Lee (2019),116.01
Jim Knous (2019),115.99
Scott Stallings (2019),115.83
Rickie Fowler (2019),115.72
Harold Varner III (2019),115.72
Charley Hoffman (2019),115.69
Henrik Stenson (2019),115.61
Tommy Fleetwood (2019),115.58
Tyrrell Hatton (2019),115.53
Pat Perez (2019),115.51
Martin Laird (2019),115.34
Justin Rose (2019),115.24
Lucas Glover (2019),115.22
Branden Grace (2019),115.22
Andrew Putnam (2019),115.14
Bill Haas (2019),115.1
Brendan Steele (2019),115.1
Cody Gribble (2019),115.07
Emiliano Grillo (2019),115.04
Sepp Straka (2019),114.99
Chesson Hadley (2019),114.84
Patton Kizzire (2019),114.79
Dominic Bozzelli (2019),114.72
Chase Wright (2019),114.7
Sungjae Im (2019),114.62
Sam Saunders (2019),114.55
Corey Conners (2019),114.48
Roger Sloan (2019),114.39
Stephan Jaeger (2019),114.37
Jimmy Walker (2019),114.34
Scott Piercy (2019),114.28
Freddie Jacobson (2019),114.26
Hank Lebioda (2019),114.21
Kevin Na (2019),114.19
Kramer Hickok (2019),114.18
Robert Streb (2019),114.05
Dylan Frittelli (2019),114.03
Sung Kang (2019),113.99
Peter Malnati (2019),113.96
J.T. Poston (2019),113.96
Aaron Baddeley (2019),113.93
Hunter Mahan (2019),113.81
Beau Hossler (2019),113.8
Si Woo Kim (2019),113.76
Curtis Luck (2019),113.66
Scott Brown (2019),113.64
Billy Horschel (2019),113.61
Keegan Bradley (2019),113.56
Sangmoon Bae (2019),113.55
Jordan Spieth (2019),113.5
Jim Herman (2019),113.27
Kiradech Aphibarnrat (2019),113.23
Louis Oosthuizen (2019),113.2
Adam Svensson (2019),113.12
Anders Albertson (2019),113.11
Danny Willett (2019),113.01
Matthew Fitzpatrick (2019),112.96
Kevin Streelman (2019),112.95
Rod Pampling (2019),112.84
J.J. Spaun (2019),112.81
Kyoung-Hoon Lee (2019),112.69
Denny McCarthy (2019),112.66
Russell Knox (2019),112.6
Josh Teater (2019),112.58
"Ted Potter, Jr. (2019)",112.54
Julián Etulain (2019),112.54
Adam Hadwin (2019),112.5
Tyler Duncan (2019),112.31
Ian Poulter (2019),112.28
Kevin Kisner (2019),112.2
Troy Merritt (2019),112.16
Tom Hoge (2019),112.15
Rafa Cabrera Bello (2019),112.13
Jason Dufner (2019),112.1
Abraham Ancer (2019),112.04
Cameron Smith (2019),112.03
Jonas Blixt (2019),111.98
Graeme McDowell (2019),111.88
J.J. Henry (2019),111.87
Joel Dahmen (2019),111.83
Francesco Molinari (2019),111.8
Joey Garber (2019),111.78
Bud Cauley (2019),111.72
Rory Sabbatini (2019),111.58
Chris Stroud (2019),111.58
Bronson Burgoon (2019),111.57
Nate Lashley (2019),111.55
Richy Werenski (2019),111.24
Anirban Lahiri (2019),111.21
Brice Garnett (2019),111.18
Wes Roach (2019),111.07
Jonathan Byrd (2019),111.05
Nick Taylor (2019),110.97
Roberto Castro (2019),110.91
Michael Kim (2019),110.83
Kyle Stanley (2019),110.78
C.T. Pan (2019),110.67
Michael Thompson (2019),110.64
Ben Silverman (2019),110.63
Brian Harman (2019),110.47
Adam Long (2019),110.38
Ernie Els (2019),110.3
Webb Simpson (2019),110.26
Austin Cook (2019),110.21
José de Jesús Rodríguez (2019),110.14
Russell Henley (2019),110.07
Zach Johnson (2019),109.96
Brandt Snedeker (2019),109.96
Kelly Kraft (2019),109.55
Ryan Blaum (2019),109.26
Fabián Gómez (2019),109.19
Whee Kim (2019),109.19
Matt Kuchar (2019),109.12
Ryan Moore (2019),109.08
Andrew Landry (2019),108.84
Chez Reavie (2019),108.81
Kyle Jones (2019),108.77
Roberto Díaz (2019),108.27
Vaughn Taylor (2019),108.23
Satoshi Kodaira (2019),107.85
Brady Schnell (2019),107.61
Jim Furyk (2019),107.53
Scott Langley (2019),107.33
Ryan Armour (2019),107.24
Johnson Wagner (2019),107.07
