Golfer,Year,Player,AvgApproachGT100,AvgApproachLT100,AvgBallSpeed,AvgClubheadSpeed,LaunchAngle,ProxToHoleARG,Putt10_15Made,Putt15_20Made,PuttGT20Made,PuttLT10Made,SandSave,SpinRateOTT,Winner,StrokeAverage
Aaron Baddeley,2015,Aaron Baddeley (2015),33.67,19.08,175.43,118.04,10.65,7.33,44.81,21.13,6.91,88.69,59.13,2525.7,1,71.218
Aaron Baddeley,2016,Aaron Baddeley (2016),34.42,18,172.75,116.2,9.19,7.08,33.52,19.59,7.19,89.82,61.07,2573.2,0,70.888
Aaron Baddeley,2017,Aaron Baddeley (2017),36.5,17.17,173.03,115.8,8.32,7.42,33.94,21,6.1,86.03,58.42,2875.1,0,71.483
Aaron Baddeley,2018,Aaron Baddeley (2018),33.67,19.42,170.68,113.89,9.5,7.08,27.65,20.81,5.67,87.64,57.04,2683,0,70.85
Aaron Baddeley,2019,Aaron Baddeley (2019),36.25,16.5,171.31,113.93,7.37,7.08,36.94,25,7.39,88.59,54.55,2857.9,0,70.783
Aaron Wise,2018,Aaron Wise (2018),33.33,17.25,171.85,114.38,10.51,8.42,34.45,21.82,7.47,87.63,47.92,2580.3,1,70.247
Aaron Wise,2019,Aaron Wise (2019),33.92,17.67,174.29,116.54,10.75,7.75,27.59,21.9,6.08,86.36,48.19,2331.3,0,70.739
Abraham Ancer,2016,Abraham Ancer (2016),32.33,20.75,159.6,106.9,9.71,7.42,25,11.39,6.83,85.93,46.75,2604.7,0,72.137
Abraham Ancer,2018,Abraham Ancer (2018),33,16,167.57,111.85,11.46,7.58,28.69,15.7,6.8,88.09,54.12,2599.9,0,70.659
Abraham Ancer,2019,Abraham Ancer (2019),31.75,20.5,168.18,112.04,9.67,7.75,31.18,14.69,8.98,87.61,46.62,2759,0,70.581
Adam Hadwin,2015,Adam Hadwin (2015),32.75,18.67,169.37,114.67,10.18,7.92,29.44,21.39,7.55,89.08,50.96,2924.1,0,71.021
Adam Hadwin,2016,Adam Hadwin (2016),33.25,17.25,167.96,114.05,10.49,7.33,29.66,24.4,6.41,88.53,54.78,2719.8,1,70.719
Adam Hadwin,2017,Adam Hadwin (2017),32.58,15.92,170.28,114.97,9.93,7.58,36.24,22.88,6.79,88.26,61.11,2693,1,70.583
Adam Hadwin,2018,Adam Hadwin (2018),34.75,20.5,168.2,111.69,11.1,7.42,37.7,23.53,6.44,87.06,47.34,2952,0,70.75
Adam Hadwin,2019,Adam Hadwin (2019),31.33,16.33,169.65,112.5,9.42,7.08,33.33,14.29,8.03,88.44,55.94,2985.8,0,70.545
Adam Long,2019,Adam Long (2019),33.17,14.5,165.68,110.38,12.98,7.42,25.99,13.67,5.48,87.09,49.59,2639.3,1,71.464
Adam Schenk,2018,Adam Schenk (2018),34.58,18,177.58,120.59,7.72,8.83,30.68,19.05,6.95,87.94,42.36,3006.1,0,71.37
Adam Schenk,2019,Adam Schenk (2019),32.75,18,180.1,123.25,6.94,7.75,32.59,24.84,7.45,88.13,50,3165.1,0,70.817
Adam Scott,2015,Adam Scott (2015),34,15.42,179.72,120.27,8.91,7.33,32.14,22.06,7.84,85.93,50,2520.8,1,70.456
Adam Scott,2016,Adam Scott (2016),28,13.75,180.23,119.75,9.05,7,28.4,17.24,7.53,87.42,50.94,2559.5,0,69.47
Adam Scott,2017,Adam Scott (2017),33.42,17.25,177.78,118.55,9.89,7.92,34.51,15.85,8.4,85.03,53.85,2823.4,0,69.996
Adam Scott,2018,Adam Scott (2018),32.33,15.83,180.85,120.85,8.42,8,31.29,18.85,6.17,86.74,50.38,2903.8,0,70.42
Adam Scott,2019,Adam Scott (2019),30.17,17.42,179.36,120.29,7.39,7.08,35.34,29.73,9.24,86.38,55.45,3404.2,0,69.695
Adam Svensson,2019,Adam Svensson (2019),29.92,16.83,167.85,113.12,8.03,6.75,25,15.13,6.38,86.46,47.37,3030.8,0,71.042
Alex Cejka,2015,Alex Cejka (2015),31.33,15.5,160.88,108.52,12.61,7.08,27.78,18.75,6.24,87.34,46.67,2317.3,0,71.117
Alex Cejka,2016,Alex Cejka (2016),32.5,18.33,161.22,107.76,12.09,7.5,25.85,14.29,7.97,88.17,54.32,2476.5,0,70.675
Alex Cejka,2017,Alex Cejka (2017),32.08,18.08,160.85,107.59,13.56,7.25,29.17,20.18,6.11,86.71,46.55,2450.4,0,71.461
Alex Cejka,2018,Alex Cejka (2018),32.5,17.5,160.36,107.28,13.32,6.83,26.71,20.49,7.6,88.52,59.35,2899.2,0,70.675
Alex Cejka,2019,Alex Cejka (2019),32.08,19.08,159.91,106.99,12.24,7.33,33.33,16.67,5.08,85.49,41.98,2398.3,0,72.076
Alex Noren,2018,Alex Noren (2018),36.75,18,173.28,117.78,10.06,8.42,30,20,9.88,89.73,51.85,3143.2,0,69.973
Alex Noren,2019,Alex Noren (2019),35,20.75,179.26,120.58,8.69,7.83,27.88,19.18,7.3,85.85,44.54,2951.4,0,71.046
Alex Prugh,2015,Alex Prugh (2015),32,14.67,171.22,115.67,12,8.5,30.85,13.29,3.93,88.49,41.51,2644,0,71.089
Alex Prugh,2019,Alex Prugh (2019),32.42,14.17,174.62,117.33,10.56,8.5,28.93,13.21,6.48,86.92,47.31,2560.9,0,71.322
Anders Albertson,2019,Anders Albertson (2019),32.83,19.17,169.52,113.11,8.64,7.92,26.62,15.38,7.34,87.6,52.17,2461.4,0,71.772
Andres Gonzales,2015,Andres Gonzales (2015),33.33,15.92,171.88,115.75,10.32,7.83,29.68,22.08,8.04,87.76,46.85,2670.6,0,71.427
Andres Gonzales,2016,Andres Gonzales (2016),31.67,19.83,173.55,115.87,8.95,7.83,32.98,16.28,7.32,87.43,48.65,2610.5,0,71.681
Andres Gonzales,2017,Andres Gonzales (2017),31.67,15.92,173.89,116.3,9.42,7,31.65,21.1,7.26,88.15,53.68,2549.6,0,71.112
Andres Romero,2015,Andres Romero (2015),33.67,17.92,169.44,114.14,11.94,7.75,27.03,14.61,8.83,87.97,45.87,2272.1,0,71.427
Andrew Landry,2016,Andrew Landry (2016),33.08,18.33,166.55,110.35,11.78,7.67,32.99,22.73,6.01,89.93,44.44,2250.7,0,71.143
