Player,Prox to Hole ARG
Byeong Hun An (2019),6.33
Bud Cauley (2019),6.42
Hideki Matsuyama (2019),6.42
Brandt Snedeker (2019),6.42
Dustin Johnson (2019),6.5
Branden Grace (2019),6.5
Ian Poulter (2019),6.5
Si Woo Kim (2019),6.67
Justin Thomas (2019),6.67
Tommy Fleetwood (2019),6.67
Rory McIlroy (2019),6.67
Paul Casey (2019),6.67
Adam Svensson (2019),6.75
Russell Henley (2019),6.75
Brian Stuard (2019),6.75
Patrick Cantlay (2019),6.83
Webb Simpson (2019),6.83
Kevin Streelman (2019),6.83
Matthew Fitzpatrick (2019),6.92
Stephan Jaeger (2019),6.92
Cameron Smith (2019),6.92
Russell Knox (2019),6.92
Brian Harman (2019),6.92
Jim Furyk (2019),6.92
Peter Malnati (2019),7
Michael Thompson (2019),7
J.B. Holmes (2019),7
Nick Watney (2019),7
Louis Oosthuizen (2019),7
Matt Jones (2019),7
Jason Dufner (2019),7
Ryan Armour (2019),7
Adam Hadwin (2019),7.08
Kevin Tway (2019),7.08
Lucas Glover (2019),7.08
Jimmy Walker (2019),7.08
Adam Scott (2019),7.08
Pat Perez (2019),7.08
Justin Rose (2019),7.08
Aaron Baddeley (2019),7.08
Wyndham Clark (2019),7.17
Xander Schauffele (2019),7.17
Andrew Landry (2019),7.17
Zach Johnson (2019),7.17
Rory Sabbatini (2019),7.17
Vaughn Taylor (2019),7.17
Brooks Koepka (2019),7.25
Tyrrell Hatton (2019),7.25
Cameron Tringale (2019),7.25
Danny Willett (2019),7.25
José de Jesús Rodríguez (2019),7.25
Scott Stallings (2019),7.25
Billy Horschel (2019),7.25
Nate Lashley (2019),7.25
Luke List (2019),7.25
Graeme McDowell (2019),7.25
Charles Howell III (2019),7.25
J.T. Poston (2019),7.33
Bryson DeChambeau (2019),7.33
Ollie Schniederjans (2019),7.33
Talor Gooch (2019),7.33
Tyler Duncan (2019),7.33
Harold Varner III (2019),7.33
Patrick Reed (2019),7.33
Scott Langley (2019),7.33
Jordan Spieth (2019),7.33
Carlos Ortiz (2019),7.33
Roger Sloan (2019),7.33
Brady Schnell (2019),7.33
C.T. Pan (2019),7.33
Seamus Power (2019),7.33
Chris Stroud (2019),7.33
Jonas Blixt (2019),7.33
Marc Leishman (2019),7.33
Ryan Moore (2019),7.33
Kevin Na (2019),7.33
Francesco Molinari (2019),7.33
Bill Haas (2019),7.33
Henrik Stenson (2019),7.33
Alex Cejka (2019),7.33
Charley Hoffman (2019),7.33
Ernie Els (2019),7.33
Kyle Jones (2019),7.42
Joaquin Niemann (2019),7.42
Sungjae Im (2019),7.42
Keith Mitchell (2019),7.42
Wes Roach (2019),7.42
Mackenzie Hughes (2019),7.42
Adam Long (2019),7.42
Shawn Stefani (2019),7.42
Anirban Lahiri (2019),7.42
Jason Kokrak (2019),7.42
Julián Etulain (2019),7.42
Rafa Cabrera Bello (2019),7.42
Chez Reavie (2019),7.42
Jonathan Byrd (2019),7.42
Rod Pampling (2019),7.42
Sam Burns (2019),7.5
Ben Silverman (2019),7.5
Chesson Hadley (2019),7.5
Troy Merritt (2019),7.5
Sam Saunders (2019),7.5
Phil Mickelson (2019),7.5
Cameron Davis (2019),7.58
Nick Taylor (2019),7.58
Freddie Jacobson (2019),7.58
Sergio Garcia (2019),7.58
Trey Mullinax (2019),7.58
Richy Werenski (2019),7.58
Kramer Hickok (2019),7.58
Hank Lebioda (2019),7.58
Brian Gay (2019),7.67
Scott Piercy (2019),7.67
Fabián Gómez (2019),7.67
Peter Uihlein (2019),7.67
Danny Lee (2019),7.67
Dylan Frittelli (2019),7.67
Kyle Stanley (2019),7.67
Patton Kizzire (2019),7.67
Hudson Swafford (2019),7.67
Roberto Díaz (2019),7.67
Brandon Harkins (2019),7.67
Michael Kim (2019),7.67
Bubba Watson (2019),7.75
Martin Laird (2019),7.75
Tony Finau (2019),7.75
Gary Woodland (2019),7.75
Rickie Fowler (2019),7.75
Roberto Castro (2019),7.75
Keegan Bradley (2019),7.75
Andrew Putnam (2019),7.75
Jim Knous (2019),7.75
Chase Wright (2019),7.75
Abraham Ancer (2019),7.75
Jon Rahm (2019),7.75
Adam Schenk (2019),7.75
Aaron Wise (2019),7.75
Matt Kuchar (2019),7.83
Josh Teater (2019),7.83
Alex Noren (2019),7.83
Kevin Kisner (2019),7.83
Brice Garnett (2019),7.83
Kyoung-Hoon Lee (2019),7.83
Robert Streb (2019),7.83
Beau Hossler (2019),7.83
Tom Hoge (2019),7.83
Kelly Kraft (2019),7.83
Daniel Berger (2019),7.83
Sebastián Muñoz (2019),7.83
Sepp Straka (2019),7.83
Ryan Palmer (2019),7.92
Sung Kang (2019),7.92
Harris English (2019),7.92
J.J. Spaun (2019),7.92
Max Homa (2019),7.92
Corey Conners (2019),7.92
Austin Cook (2019),7.92
Denny McCarthy (2019),7.92
Anders Albertson (2019),7.92
David Hearn (2019),8
Cody Gribble (2019),8
Dominic Bozzelli (2019),8
Seth Reeves (2019),8
Jason Day (2019),8.08
Scott Brown (2019),8.08
Brendan Steele (2019),8.08
Kiradech Aphibarnrat (2019),8.08
Satoshi Kodaira (2019),8.08
Joel Dahmen (2019),8.08
Curtis Luck (2019),8.08
Jhonattan Vegas (2019),8.17
Bronson Burgoon (2019),8.17
Sam Ryder (2019),8.17
Martin Trainer (2019),8.33
Whee Kim (2019),8.33
"Ted Potter, Jr. (2019)",8.42
Ryan Blaum (2019),8.42
Alex Prugh (2019),8.5
Jim Herman (2019),8.5
Patrick Rodgers (2019),8.5
Joey Garber (2019),8.5
J.J. Henry (2019),8.67
Johnson Wagner (2019),8.67
Cameron Champ (2019),8.67
Hunter Mahan (2019),8.75
Sangmoon Bae (2019),8.83
Emiliano Grillo (2019),8.83
John Chin (2019),9.25
Webb Simpson (2015),6.08
Steven Alker (2015),6.17
Kevin Na (2015),6.17
Jordan Spieth (2015),6.17
Tim Wilkinson (2015),6.33
Jim Furyk (2015),6.33
Brendon Todd (2015),6.33
Roberto Castro (2015),6.5
Hideki Matsuyama (2015),6.5
Jerry Kelly (2015),6.5
Padraig Harrington (2015),6.5
Chad Collins (2015),6.5
Justin Thomas (2015),6.5
Scott Langley (2015),6.5
Jason Dufner (2015),6.58
Jonathan Byrd (2015),6.58
Rory Sabbatini (2015),6.58
Scott Brown (2015),6.58
Brandt Snedeker (2015),6.58
Kevin Chappell (2015),6.67
Luke Donald (2015),6.67
Steven Bowditch (2015),6.67
Justin Leonard (2015),6.67
Mark Wilson (2015),6.67
Matt Kuchar (2015),6.67
Cameron Tringale (2015),6.67
Heath Slocum (2015),6.75
Ian Poulter (2015),6.75
Bryce Molder (2015),6.75
Chris Kirk (2015),6.75
Rickie Fowler (2015),6.83
Camilo Villegas (2015),6.83
Jonas Blixt (2015),6.83
Chris Stroud (2015),6.83
Louis Oosthuizen (2015),6.83
J.B. Holmes (2015),6.83
Erik Compton (2015),6.83
Vijay Singh (2015),6.83
Patrick Reed (2015),6.83
Luke Guthrie (2015),6.83
Zac Blair (2015),6.92
Phil Mickelson (2015),6.92
David Toms (2015),6.92
Justin Rose (2015),6.92
Ben Crane (2015),6.92
K.J. Choi (2015),6.92
Zach Johnson (2015),6.92
Boo Weekley (2015),6.92
Chez Reavie (2015),6.92
Billy Hurley III (2015),6.92
Kevin Kisner (2015),6.92
Danny Lee (2015),7
D.A. Points (2015),7
Andrew Putnam (2015),7
David Lingmerth (2015),7
Sung Joon Park (2015),7
Patrick Rodgers (2015),7.08
Derek Ernst (2015),7.08
Carl Pettersson (2015),7.08
Pat Perez (2015),7.08
Ernie Els (2015),7.08
Alex Cejka (2015),7.08
Colt Knost (2015),7.08
John Merrick (2015),7.08
Jason Day (2015),7.17
Tyrone Van Aswegen (2015),7.17
