Player,Putt 10-15 % Made
Jordan Spieth (2019),40.49
Graeme McDowell (2019),40
Sam Ryder (2019),38.92
Curtis Luck (2019),38.89
Chase Wright (2019),37.79
Patton Kizzire (2019),37.23
Jason Day (2019),37.21
Harris English (2019),37.11
Aaron Baddeley (2019),36.94
Ian Poulter (2019),36.51
Francesco Molinari (2019),36.44
José de Jesús Rodríguez (2019),36.43
Peter Malnati (2019),36.36
Patrick Cantlay (2019),36.23
Richy Werenski (2019),36.08
Kevin Kisner (2019),35.82
Johnson Wagner (2019),35.82
Ryan Blaum (2019),35.75
Sam Burns (2019),35.64
Wyndham Clark (2019),35.59
Rickie Fowler (2019),35.57
Marc Leishman (2019),35.48
Andrew Putnam (2019),35.44
Fabián Gómez (2019),35.42
Adam Scott (2019),35.34
Brian Gay (2019),35.14
Sungjae Im (2019),35.09
Pat Perez (2019),34.95
Brooks Koepka (2019),34.52
Julián Etulain (2019),34.51
Webb Simpson (2019),34.48
Justin Thomas (2019),34.32
Rory Sabbatini (2019),34.13
Ollie Schniederjans (2019),34.07
Roberto Díaz (2019),34
Ryan Armour (2019),33.95
Louis Oosthuizen (2019),33.8
Russell Knox (2019),33.75
Matt Jones (2019),33.54
Dominic Bozzelli (2019),33.33
Roger Sloan (2019),33.33
Adam Hadwin (2019),33.33
Alex Cejka (2019),33.33
Patrick Reed (2019),33.16
Scott Stallings (2019),33.16
Ben Silverman (2019),33.13
Dustin Johnson (2019),33.11
Sangmoon Bae (2019),33.04
Bryson DeChambeau (2019),33.01
Sung Kang (2019),32.98
Cameron Champ (2019),32.94
Si Woo Kim (2019),32.88
Charles Howell III (2019),32.81
Danny Willett (2019),32.8
Mackenzie Hughes (2019),32.7
Hudson Swafford (2019),32.65
Jonathan Byrd (2019),32.61
Adam Schenk (2019),32.59
Vaughn Taylor (2019),32.53
Scott Langley (2019),32.53
Troy Merritt (2019),32.5
Rafa Cabrera Bello (2019),32.48
Kiradech Aphibarnrat (2019),32.28
Cameron Tringale (2019),32.26
Brandt Snedeker (2019),32.24
Josh Teater (2019),32.17
Freddie Jacobson (2019),32.14
Luke List (2019),32.14
Rory McIlroy (2019),32.1
Sepp Straka (2019),32.1
Satoshi Kodaira (2019),31.94
Patrick Rodgers (2019),31.9
Bill Haas (2019),31.85
Brandon Harkins (2019),31.82
Peter Uihlein (2019),31.79
Nate Lashley (2019),31.79
Xander Schauffele (2019),31.69
Nick Watney (2019),31.69
Justin Rose (2019),31.69
Wes Roach (2019),31.65
Zach Johnson (2019),31.61
Gary Woodland (2019),31.36
Nick Taylor (2019),31.36
Carlos Ortiz (2019),31.28
Tony Finau (2019),31.25
Ernie Els (2019),31.25
Abraham Ancer (2019),31.18
Hank Lebioda (2019),30.94
Max Homa (2019),30.93
Jason Kokrak (2019),30.92
"Ted Potter, Jr. (2019)",30.86
Billy Horschel (2019),30.81
Martin Laird (2019),30.68
Chesson Hadley (2019),30.65
Chez Reavie (2019),30.58
Brady Schnell (2019),30.43
Dylan Frittelli (2019),30.41
Talor Gooch (2019),30.36
Jonas Blixt (2019),30.36
Brian Stuard (2019),30.3
Ryan Palmer (2019),30.28
Lucas Glover (2019),30.13
J.T. Poston (2019),29.96
Keegan Bradley (2019),29.78
Denny McCarthy (2019),29.63
Shawn Stefani (2019),29.61
J.J. Spaun (2019),29.59
Sam Saunders (2019),29.44
Matthew Fitzpatrick (2019),29.41
Seamus Power (2019),29.38
Trey Mullinax (2019),29.35
Martin Trainer (2019),29.17
Tommy Fleetwood (2019),29.17
Hideki Matsuyama (2019),29.15
Scott Piercy (2019),29.06
Branden Grace (2019),29.06
Russell Henley (2019),29.05
Beau Hossler (2019),29.03
Joey Garber (2019),28.95
Alex Prugh (2019),28.93
Matt Kuchar (2019),28.88
Danny Lee (2019),28.83
Phil Mickelson (2019),28.78
Corey Conners (2019),28.72
Roberto Castro (2019),28.57
Jim Knous (2019),28.57
Harold Varner III (2019),28.44
Austin Cook (2019),28.39
John Chin (2019),28.28
Andrew Landry (2019),28.23
Kevin Na (2019),28.21
Kelly Kraft (2019),28.18
Bronson Burgoon (2019),28.17
Keith Mitchell (2019),28.16
Kyoung-Hoon Lee (2019),28.14
Hunter Mahan (2019),28.1
Michael Thompson (2019),27.92
Henrik Stenson (2019),27.91
Cody Gribble (2019),27.89
Ryan Moore (2019),27.88
Alex Noren (2019),27.88
Joaquin Niemann (2019),27.75
Sergio Garcia (2019),27.66
Aaron Wise (2019),27.59
Charley Hoffman (2019),27.48
Bud Cauley (2019),27.42
Tom Hoge (2019),27.4
Jason Dufner (2019),27.39
David Hearn (2019),27.37
Paul Casey (2019),27.33
Kevin Streelman (2019),27.32
Brendan Steele (2019),27.27
Scott Brown (2019),27.22
Anirban Lahiri (2019),27.16
Seth Reeves (2019),26.98
Kyle Stanley (2019),26.9
Brice Garnett (2019),26.88
C.T. Pan (2019),26.88
Anders Albertson (2019),26.62
Jhonattan Vegas (2019),26.55
Bubba Watson (2019),26.47
Kyle Jones (2019),26.32
Jim Herman (2019),26.21
Brian Harman (2019),26.11
Chris Stroud (2019),26.09
Jimmy Walker (2019),26.03
Adam Long (2019),25.99
Michael Kim (2019),25.95
Kevin Tway (2019),25.73
Tyrrell Hatton (2019),25
Adam Svensson (2019),25
Robert Streb (2019),24.84
Cameron Smith (2019),24.84
Tyler Duncan (2019),24.73
Kramer Hickok (2019),24.7
Jim Furyk (2019),24.66
Daniel Berger (2019),24.52
Stephan Jaeger (2019),24.37
Jon Rahm (2019),24.36
Whee Kim (2019),24.06
Cameron Davis (2019),23.9
Joel Dahmen (2019),23.61
Sebastián Muñoz (2019),22.81
Byeong Hun An (2019),21.95
Emiliano Grillo (2019),20.39
Rod Pampling (2019),20.18
J.B. Holmes (2019),19.85
J.J. Henry (2019),18.69
Aaron Baddeley (2015),44.81
Ian Poulter (2015),38.69
Danny Lee (2015),38.33
Ben Crane (2015),37.89
Jimmy Walker (2015),37.78
Lee Westwood (2015),37.5
Patrick Reed (2015),37.17
Russell Henley (2015),36.57
Brendon Todd (2015),36.27
Jerry Kelly (2015),36.19
Chris Kirk (2015),35.9
Brandt Snedeker (2015),35.71
William McGirt (2015),35.69
Sangmoon Bae (2015),35.6
Retief Goosen (2015),35.58
Phil Mickelson (2015),35.46
Brian Davis (2015),35.45
Marc Leishman (2015),35.19
Jhonattan Vegas (2015),35.08
Kevin Chappell (2015),35.03
George McNeill (2015),34.92
Daniel Summerhays (2015),34.91
Robert Streb (2015),34.88
David Hearn (2015),34.83
Jason Bohn (2015),34.6
Andrew Putnam (2015),34.55
Camilo Villegas (2015),34.54
Matt Every (2015),34.43
Blayne Barber (2015),34.38
Charley Hoffman (2015),34.32
Morgan Hoffmann (2015),34.22
Scott Pinckney (2015),33.91
Jonathan Randolph (2015),33.8
Troy Merritt (2015),33.79
Matt Jones (2015),33.7
Scott Langley (2015),33.64
Henrik Stenson (2015),33.63
Seung-Yul Noh (2015),33.53
Paul Casey (2015),33.5
Greg Chalmers (2015),33.33
Zac Blair (2015),33.33
John Huh (2015),33.2
Brice Garnett (2015),33.14
Bubba Watson (2015),33.11
Pat Perez (2015),33.05
Sean O'Hair (2015),33
Carl Pettersson (2015),32.99
Luke Guthrie (2015),32.96
Nick Taylor (2015),32.91
Brian Stuard (2015),32.91
Jonathan Byrd (2015),32.82
Max Homa (2015),32.72
Bryce Molder (2015),32.7
Jeff Overton (2015),32.67
Erik Compton (2015),32.26
Sergio Garcia (2015),32.22
Adam Scott (2015),32.14
Gary Woodland (2015),32.14
Hudson Swafford (2015),32.13
Scott Stallings (2015),32
Keegan Bradley (2015),31.93
Johnson Wagner (2015),31.82
Jason Gore (2015),31.68
Rickie Fowler (2015),31.61
Ryo Ishikawa (2015),31.56
Chesson Hadley (2015),31.48
Whee Kim (2015),31.46
Brendan Steele (2015),31.43
Michael Thompson (2015),31.41
Brian Harman (2015),31.31
John Senden (2015),31.3
Matt Kuchar (2015),31.2
J.B. Holmes (2015),31.15
Tony Finau (2015),31.09
Colt Knost (2015),31.03
Justin Rose (2015),31.03
Brooks Koepka (2015),31.03
Stewart Cink (2015),31.02
Chris Stroud (2015),31.02
Alex Prugh (2015),30.85
Chez Reavie (2015),30.77
Martin Flores (2015),30.59
Jordan Spieth (2015),30.59
Andrew Svoboda (2015),30.57
K.J. Choi (2015),30.36
Shawn Stefani (2015),30.36
Jamie Donaldson (2015),30.34
Fabián Gómez (2015),30.33
Jason Day (2015),30.26
Hunter Mahan (2015),30.23
Harris English (2015),30
Ryan Moore (2015),29.95
Spencer Levin (2015),29.95
Eric Axley (2015),29.91
Cameron Tringale (2015),29.82
Ryan Palmer (2015),29.79
Carlos Ortiz (2015),29.78
