 Player,Putt 15-20 % Made
Denny McCarthy (2019),29.93
Adam Scott (2019),29.73
Curtis Luck (2019),27.16
Lucas Glover (2019),26.85
Vaughn Taylor (2019),26.75
Anirban Lahiri (2019),26.09
Sepp Straka (2019),25.98
Ryan Moore (2019),25.66
Aaron Baddeley (2019),25
Adam Schenk (2019),24.84
Austin Cook (2019),24.56
Wyndham Clark (2019),24.29
Sung Kang (2019),24.29
Ian Poulter (2019),24.24
Michael Thompson (2019),24.22
Matthew Fitzpatrick (2019),24.14
Jordan Spieth (2019),24.06
Chris Stroud (2019),23.85
Paul Casey (2019),23.68
Hunter Mahan (2019),23.6
Peter Uihlein (2019),23.53
J.T. Poston (2019),23.49
Johnson Wagner (2019),23.42
Patton Kizzire (2019),23.08
Graeme McDowell (2019),22.92
Brandt Snedeker (2019),22.9
Max Homa (2019),22.73
Ryan Armour (2019),22.52
Richy Werenski (2019),22.5
Xander Schauffele (2019),22.47
Billy Horschel (2019),22.43
Dominic Bozzelli (2019),22.33
Jon Rahm (2019),22.22
Kyoung-Hoon Lee (2019),22.05
Aaron Wise (2019),21.9
Jhonattan Vegas (2019),21.74
Josh Teater (2019),21.67
Jonas Blixt (2019),21.64
Ollie Schniederjans (2019),21.6
Brian Gay (2019),21.53
Luke List (2019),21.5
Sangmoon Bae (2019),21.43
Hudson Swafford (2019),21.36
Jim Herman (2019),21.33
Rickie Fowler (2019),21.32
Sungjae Im (2019),21.28
Ryan Palmer (2019),21.21
Kyle Jones (2019),21.14
Marc Leishman (2019),21.05
Kevin Na (2019),21.05
Andrew Putnam (2019),21
"Ted Potter, Jr. (2019)",20.93
Russell Henley (2019),20.9
Carlos Ortiz (2019),20.9
Rod Pampling (2019),20.73
Tony Finau (2019),20.72
Danny Lee (2019),20.69
Jim Furyk (2019),20.59
Bryson DeChambeau (2019),20.54
Chesson Hadley (2019),20.45
Whee Kim (2019),20.43
Brady Schnell (2019),20.25
Nick Taylor (2019),20.22
Stephan Jaeger (2019),20.21
Charley Hoffman (2019),20.19
Dustin Johnson (2019),20.18
Hideki Matsuyama (2019),20
Webb Simpson (2019),20
Martin Laird (2019),20
Scott Brown (2019),19.86
Roberto Castro (2019),19.84
Nate Lashley (2019),19.8
Talor Gooch (2019),19.79
Kiradech Aphibarnrat (2019),19.77
Peter Malnati (2019),19.57
Tyrrell Hatton (2019),19.51
Cameron Davis (2019),19.49
Alex Noren (2019),19.18
Gary Woodland (2019),19.17
Ben Silverman (2019),19.09
Tyler Duncan (2019),18.97
Sebastián Muñoz (2019),18.94
Jim Knous (2019),18.92
Ryan Blaum (2019),18.88
Tom Hoge (2019),18.79
Matt Kuchar (2019),18.33
Patrick Rodgers (2019),18.28
Robert Streb (2019),18.26
Beau Hossler (2019),18.25
Joaquin Niemann (2019),18.13
Jimmy Walker (2019),18.1
Hank Lebioda (2019),18.03
Patrick Reed (2019),17.97
Cameron Smith (2019),17.95
Joey Garber (2019),17.89
Bronson Burgoon (2019),17.89
Justin Rose (2019),17.89
Joel Dahmen (2019),17.86
Emiliano Grillo (2019),17.86
Rory McIlroy (2019),17.86
Jason Day (2019),17.82
Freddie Jacobson (2019),17.81
Daniel Berger (2019),17.74
Louis Oosthuizen (2019),17.71
Cody Gribble (2019),17.6
Sam Ryder (2019),17.54
J.B. Holmes (2019),17.44
Brooks Koepka (2019),17.39
Tommy Fleetwood (2019),17.39
Keith Mitchell (2019),17.36
Brian Stuard (2019),17.36
J.J. Spaun (2019),17.09
Danny Willett (2019),17.05
José de Jesús Rodríguez (2019),17.05
Kelly Kraft (2019),16.77
Cameron Champ (2019),16.67
Alex Cejka (2019),16.67
Rafa Cabrera Bello (2019),16.47
Patrick Cantlay (2019),16.39
Scott Langley (2019),16.36
Seamus Power (2019),16.33
Pat Perez (2019),16.22
Charles Howell III (2019),16.2
Roberto Díaz (2019),16.16
Jason Dufner (2019),16.13
Satoshi Kodaira (2019),16.09
Brendan Steele (2019),16.07
Seth Reeves (2019),16.04
Michael Kim (2019),15.96
Jason Kokrak (2019),15.94
Si Woo Kim (2019),15.93
Brian Harman (2019),15.92
Martin Trainer (2019),15.91
Keegan Bradley (2019),15.71
Sam Saunders (2019),15.52
Dylan Frittelli (2019),15.44
Anders Albertson (2019),15.38
Chase Wright (2019),15.38
Justin Thomas (2019),15.38
Scott Stallings (2019),15.38
Brice Garnett (2019),15.38
David Hearn (2019),15.38
Roger Sloan (2019),15.25
Jonathan Byrd (2019),15.25
Bill Haas (2019),15.24
Kevin Kisner (2019),15.13
Adam Svensson (2019),15.13
Wes Roach (2019),14.95
Kevin Tway (2019),14.88
Zach Johnson (2019),14.85
Sam Burns (2019),14.78
Abraham Ancer (2019),14.69
Kyle Stanley (2019),14.66
Branden Grace (2019),14.49
Byeong Hun An (2019),14.42
Kramer Hickok (2019),14.41
Rory Sabbatini (2019),14.38
Fabián Gómez (2019),14.29
Adam Hadwin (2019),14.29
Chez Reavie (2019),13.99
Shawn Stefani (2019),13.95
Brandon Harkins (2019),13.87
John Chin (2019),13.75
Bubba Watson (2019),13.68
Bud Cauley (2019),13.68
Adam Long (2019),13.67
Andrew Landry (2019),13.64
Harris English (2019),13.61
Phil Mickelson (2019),13.48
Scott Piercy (2019),13.33
Alex Prugh (2019),13.21
Matt Jones (2019),12.78
Cameron Tringale (2019),12.75
Nick Watney (2019),12.4
Troy Merritt (2019),12.38
Trey Mullinax (2019),12.28
Francesco Molinari (2019),12.16
Kevin Streelman (2019),11.93
Julián Etulain (2019),11.76
Corey Conners (2019),11.56
C.T. Pan (2019),11.54
Ernie Els (2019),11.48
Russell Knox (2019),11.39
Mackenzie Hughes (2019),11.29
