Player,Putt >20 % Made
Jordan Spieth (2019),12.19
Patrick Rodgers (2019),11.39
Beau Hossler (2019),11.35
Andrew Putnam (2019),11.15
Justin Rose (2019),10.84
Curtis Luck (2019),10.2
Cameron Tringale (2019),10.06
Denny McCarthy (2019),10.02
Chris Stroud (2019),9.87
Jon Rahm (2019),9.84
Peter Uihlein (2019),9.79
Rory McIlroy (2019),9.74
Webb Simpson (2019),9.64
Talor Gooch (2019),9.57
Rickie Fowler (2019),9.54
Pat Perez (2019),9.49
Kevin Na (2019),9.48
Chez Reavie (2019),9.38
Joel Dahmen (2019),9.35
Adam Scott (2019),9.24
Jason Kokrak (2019),9.21
Sebastián Muñoz (2019),9.16
Roger Sloan (2019),9.07
"Ted Potter, Jr. (2019)",9.06
Sepp Straka (2019),9.01
Abraham Ancer (2019),8.98
Shawn Stefani (2019),8.97
Billy Horschel (2019),8.92
Scott Piercy (2019),8.89
Brian Stuard (2019),8.89
Gary Woodland (2019),8.88
Charley Hoffman (2019),8.84
John Chin (2019),8.81
Danny Lee (2019),8.77
Lucas Glover (2019),8.63
Patton Kizzire (2019),8.62
Roberto Castro (2019),8.61
Rory Sabbatini (2019),8.53
Corey Conners (2019),8.53
J.T. Poston (2019),8.51
Bryson DeChambeau (2019),8.49
Phil Mickelson (2019),8.48
Kelly Kraft (2019),8.43
Bronson Burgoon (2019),8.39
Vaughn Taylor (2019),8.33
Chesson Hadley (2019),8.33
Sam Ryder (2019),8.33
Dustin Johnson (2019),8.3
Brice Garnett (2019),8.29
Hideki Matsuyama (2019),8.25
Johnson Wagner (2019),8.22
Sangmoon Bae (2019),8.17
Xander Schauffele (2019),8.15
Freddie Jacobson (2019),8.09
Matt Jones (2019),8.07
Jason Day (2019),8.05
Adam Hadwin (2019),8.03
Harold Varner III (2019),7.94
Richy Werenski (2019),7.93
Ryan Armour (2019),7.91
Cameron Davis (2019),7.89
Hank Lebioda (2019),7.82
Chase Wright (2019),7.78
Patrick Cantlay (2019),7.77
Cameron Smith (2019),7.75
Graeme McDowell (2019),7.74
Mackenzie Hughes (2019),7.73
Nate Lashley (2019),7.72
Austin Cook (2019),7.72
Michael Thompson (2019),7.69
Cody Gribble (2019),7.67
Brendan Steele (2019),7.65
Jim Knous (2019),7.59
Matthew Fitzpatrick (2019),7.59
Patrick Reed (2019),7.58
Charles Howell III (2019),7.57
David Hearn (2019),7.55
Dominic Bozzelli (2019),7.53
Nick Taylor (2019),7.5
Ben Silverman (2019),7.49
Scott Brown (2019),7.47
Bud Cauley (2019),7.46
Adam Schenk (2019),7.45
Kevin Streelman (2019),7.44
Byeong Hun An (2019),7.42
Roberto Díaz (2019),7.41
Aaron Baddeley (2019),7.39
Zach Johnson (2019),7.38
Kyoung-Hoon Lee (2019),7.34
Joey Garber (2019),7.34
Anders Albertson (2019),7.34
Branden Grace (2019),7.32
Peter Malnati (2019),7.31
Alex Noren (2019),7.3
Kevin Tway (2019),7.3
Brooks Koepka (2019),7.27
Kevin Kisner (2019),7.24
Tommy Fleetwood (2019),7.24
Luke List (2019),7.23
Brady Schnell (2019),7.2
Tony Finau (2019),7.11
Jhonattan Vegas (2019),7.1
Martin Laird (2019),7.1
Ian Poulter (2019),7.09
Nick Watney (2019),7.08
Cameron Champ (2019),7.07
Hunter Mahan (2019),7.05
Scott Langley (2019),6.99
Whee Kim (2019),6.98
Tyrrell Hatton (2019),6.9
Sam Burns (2019),6.9
Anirban Lahiri (2019),6.88
Sung Kang (2019),6.86
Bubba Watson (2019),6.8
Brandt Snedeker (2019),6.78
Daniel Berger (2019),6.78
Si Woo Kim (2019),6.77
Keith Mitchell (2019),6.76
C.T. Pan (2019),6.73
J.J. Spaun (2019),6.7
Ryan Moore (2019),6.69
Jonas Blixt (2019),6.68
Sungjae Im (2019),6.68
Paul Casey (2019),6.67
Ernie Els (2019),6.63
Seamus Power (2019),6.58
Joaquin Niemann (2019),6.56
Matt Kuchar (2019),6.54
Harris English (2019),6.5
Andrew Landry (2019),6.49
Kramer Hickok (2019),6.49
Alex Prugh (2019),6.48
Dylan Frittelli (2019),6.47
Brandon Harkins (2019),6.44
Max Homa (2019),6.44
Ryan Blaum (2019),6.39
Emiliano Grillo (2019),6.39
Adam Svensson (2019),6.38
Marc Leishman (2019),6.3
