Player,Putt <10 % Made
Brendon Todd (2015),90.39
Kevin Kisner (2015),89.78
Rickie Fowler (2015),89.76
Ryan Palmer (2015),89.69
Harris English (2015),89.68
Johnson Wagner (2015),89.63
Jason Day (2015),89.6
Jim Furyk (2015),89.45
Troy Merritt (2015),89.43
Greg Chalmers (2015),89.39
Brandt Snedeker (2015),89.34
Daniel Summerhays (2015),89.27
Derek Fathauer (2015),89.21
Brooks Koepka (2015),89.14
Adam Hadwin (2015),89.08
Bryce Molder (2015),89.04
Jon Curran (2015),89.01
Graham DeLaet (2015),88.94
Russell Henley (2015),88.93
Zac Blair (2015),88.91
Bo Van Pelt (2015),88.87
Brian Harman (2015),88.83
Davis Love III (2015),88.83
Lee Westwood (2015),88.81
Erik Compton (2015),88.79
Robert Streb (2015),88.79
Daniel Berger (2015),88.76
Jim Herman (2015),88.75
Jamie Donaldson (2015),88.75
Aaron Baddeley (2015),88.69
Jason Bohn (2015),88.68
Steve Wheatcroft (2015),88.62
Billy Hurley III (2015),88.61
Andrew Putnam (2015),88.59
Carl Pettersson (2015),88.55
Matt Kuchar (2015),88.55
Jimmy Walker (2015),88.54
Justin Thomas (2015),88.54
Bill Haas (2015),88.54
Eric Axley (2015),88.5
J.J. Henry (2015),88.49
Alex Prugh (2015),88.49
K.J. Choi (2015),88.47
Billy Horschel (2015),88.45
John Peterson (2015),88.39
Colt Knost (2015),88.38
Hunter Mahan (2015),88.3
Tyrone Van Aswegen (2015),88.3
Cameron Percy (2015),88.28
Hudson Swafford (2015),88.24
Steven Bowditch (2015),88.21
Jordan Spieth (2015),88.2
Luke Donald (2015),88.2
Kevin Na (2015),88.2
Francesco Molinari (2015),88.18
Ben Crane (2015),88.17
Ricky Barnes (2015),88.17
Henrik Stenson (2015),88.15
Scott Pinckney (2015),88.13
Brendon de Jonge (2015),88.12
Mark Hubbard (2015),88.08
Ryan Moore (2015),88.06
Michael Thompson (2015),88.03
Russell Knox (2015),88.03
Shawn Stefani (2015),88.02
Ben Martin (2015),88.01
Jerry Kelly (2015),88
Chad Collins (2015),87.99
Andres Romero (2015),87.97
Scott Brown (2015),87.97
Fabián Gómez (2015),87.96
Charley Hoffman (2015),87.94
George McNeill (2015),87.89
David Hearn (2015),87.89
Max Homa (2015),87.86
D.A. Points (2015),87.84
Will Wilcox (2015),87.82
Rory Sabbatini (2015),87.82
Hideki Matsuyama (2015),87.81
Danny Lee (2015),87.8
Jeff Overton (2015),87.78
Keegan Bradley (2015),87.77
Andres Gonzales (2015),87.76
Louis Oosthuizen (2015),87.76
Bubba Watson (2015),87.75
Martin Laird (2015),87.72
Chad Campbell (2015),87.7
Chris Kirk (2015),87.7
Morgan Hoffmann (2015),87.7
Marc Leishman (2015),87.68
Blayne Barber (2015),87.67
