Player,Sand Save %
Francesco Molinari (2019),65.33
Ernie Els (2019),64.47
Dustin Johnson (2019),63.86
Tommy Fleetwood (2019),63.54
Webb Simpson (2019),62.96
Talor Gooch (2019),62.5
Sam Ryder (2019),62.4
Brandt Snedeker (2019),62.29
Ian Poulter (2019),62.04
Jimmy Walker (2019),61.76
Justin Rose (2019),61.68
Ben Silverman (2019),61.17
Andrew Putnam (2019),61.02
Matt Kuchar (2019),60.82
Russell Knox (2019),59.57
Lucas Glover (2019),59.12
Patrick Reed (2019),58.82
Cameron Smith (2019),58.68
Byeong Hun An (2019),58.52
Harold Varner III (2019),58.47
Brian Harman (2019),58.45
Brooks Koepka (2019),58.43
Marc Leishman (2019),58.21
Louis Oosthuizen (2019),58.12
Patrick Cantlay (2019),58.04
Sung Kang (2019),57.75
C.T. Pan (2019),57.45
Vaughn Taylor (2019),56.69
Seamus Power (2019),56.64
Graeme McDowell (2019),56.62
Si Woo Kim (2019),56.6
Roger Sloan (2019),56.52
Bud Cauley (2019),56.43
Daniel Berger (2019),56.2
Adam Hadwin (2019),55.94
Wyndham Clark (2019),55.91
Xander Schauffele (2019),55.65
Dominic Bozzelli (2019),55.56
Rory Sabbatini (2019),55.56
Adam Scott (2019),55.45
Peter Uihlein (2019),55.38
Rory McIlroy (2019),55.34
Kevin Na (2019),55.26
Phil Mickelson (2019),55.1
Michael Thompson (2019),54.93
Rickie Fowler (2019),54.79
Cameron Tringale (2019),54.65
Hudson Swafford (2019),54.64
Anirban Lahiri (2019),54.63
Jordan Spieth (2019),54.61
Aaron Baddeley (2019),54.55
Stephan Jaeger (2019),54.31
Joaquin Niemann (2019),54.12
Zach Johnson (2019),54.08
Tyrrell Hatton (2019),53.76
Hideki Matsuyama (2019),53.74
Danny Willett (2019),53.64
Ryan Armour (2019),53.62
Jim Furyk (2019),53.41
Danny Lee (2019),53.19
Martin Trainer (2019),53.13
Matt Jones (2019),53.1
J.B. Holmes (2019),53.1
Rafa Cabrera Bello (2019),53.06
Scott Langley (2019),53.04
Brian Stuard (2019),52.9
Shawn Stefani (2019),52.88
J.T. Poston (2019),52.84
Jon Rahm (2019),52.83
Kiradech Aphibarnrat (2019),52.73
Chris Stroud (2019),52.63
Justin Thomas (2019),52.58
Roberto Díaz (2019),52.43
Jason Day (2019),52.38
Beau Hossler (2019),52.35
Bill Haas (2019),52.34
Bryson DeChambeau (2019),52.29
Brady Schnell (2019),52.24
Anders Albertson (2019),52.17
Nate Lashley (2019),52.13
Corey Conners (2019),51.82
Kyoung-Hoon Lee (2019),51.77
Chesson Hadley (2019),51.69
José de Jesús Rodríguez (2019),51.67
Ollie Schniederjans (2019),51.45
Harris English (2019),51.37
Sangmoon Bae (2019),51.25
Jason Dufner (2019),50.74
David Hearn (2019),50.68
Keith Mitchell (2019),50.68
Patton Kizzire (2019),50.42
Gary Woodland (2019),50.41
Scott Stallings (2019),50.39
Kevin Streelman (2019),50.37
Scott Piercy (2019),50.37
Nick Watney (2019),50.35
Joel Dahmen (2019),50.32
Carlos Ortiz (2019),50
Peter Malnati (2019),50
Branden Grace (2019),50
Scott Brown (2019),50
Andrew Landry (2019),50
Kevin Tway (2019),50
Bronson Burgoon (2019),50
Sergio Garcia (2019),50
Pat Perez (2019),50
Joey Garber (2019),50
Adam Schenk (2019),50
Tom Hoge (2019),49.65
Ryan Blaum (2019),49.62
Kyle Stanley (2019),49.61
Adam Long (2019),49.59
Bubba Watson (2019),49.47
Tony Finau (2019),49.38
Henrik Stenson (2019),49.33
Dylan Frittelli (2019),49.15
Martin Laird (2019),49.11
Sungjae Im (2019),48.95
Chez Reavie (2019),48.92
Austin Cook (2019),48.89
Sebastián Muñoz (2019),48.82
Troy Merritt (2019),48.78
Denny McCarthy (2019),48.76
Brandon Harkins (2019),48.65
Kelly Kraft (2019),48.65
Brian Gay (2019),48.25
Aaron Wise (2019),48.19
Curtis Luck (2019),48.04
Emiliano Grillo (2019),47.93
Billy Horschel (2019),47.86
Sam Saunders (2019),47.86
Matthew Fitzpatrick (2019),47.67
Julián Etulain (2019),47.54
Charles Howell III (2019),47.52
Jason Kokrak (2019),47.5
Adam Svensson (2019),47.37
Alex Prugh (2019),47.31
J.J. Spaun (2019),47.12
Roberto Castro (2019),46.94
Cameron Davis (2019),46.81
Nick Taylor (2019),46.79
Robert Streb (2019),46.67
Abraham Ancer (2019),46.62
Hunter Mahan (2019),46.6
Jonas Blixt (2019),46.55
Michael Kim (2019),46.55
Luke List (2019),46.46
Rod Pampling (2019),46.23
Chase Wright (2019),46.08
Patrick Rodgers (2019),46.07
Kevin Kisner (2019),45.83
Ryan Moore (2019),45.53
Whee Kim (2019),45.53
Fabián Gómez (2019),45.35
Richy Werenski (2019),45.24
Keegan Bradley (2019),44.92
Tyler Duncan (2019),44.55
Alex Noren (2019),44.54
Trey Mullinax (2019),44.44
Brice Garnett (2019),44.36
Max Homa (2019),44.2
Jim Herman (2019),44.16
Paul Casey (2019),43.7
Kramer Hickok (2019),43.64
Hank Lebioda (2019),43.43
Jhonattan Vegas (2019),43.43
John Chin (2019),43.37
Russell Henley (2019),43.27
Ryan Palmer (2019),42.73
Freddie Jacobson (2019),42.47
Alex Cejka (2019),41.98
"Ted Potter, Jr. (2019)",41.79
Jim Knous (2019),41.46
Cody Gribble (2019),41.3
Jonathan Byrd (2019),41.18
Sam Burns (2019),41.09
Sepp Straka (2019),41.07
Mackenzie Hughes (2019),40.68
Wes Roach (2019),40.66
Seth Reeves (2019),40.38
Johnson Wagner (2019),40.24
J.J. Henry (2019),39.76
Charley Hoffman (2019),39.32
Kyle Jones (2019),39
Brendan Steele (2019),38.95
Satoshi Kodaira (2019),38.95
Josh Teater (2019),37.5
Cameron Champ (2019),37.04
Kevin Na (2015),63.19
Sung Joon Park (2015),63.08
Will Wilcox (2015),63.08
David Toms (2015),63.04
Chad Collins (2015),62.81
Brendon Todd (2015),61.9
Danny Lee (2015),61.54
Matt Kuchar (2015),61.49
Luke Donald (2015),61.17
Jason Day (2015),61.11
Louis Oosthuizen (2015),60.82
Justin Rose (2015),60.75
Chris Kirk (2015),60.47
Heath Slocum (2015),60.44
Zac Blair (2015),60.39
Padraig Harrington (2015),59.79
Jonathan Byrd (2015),59.6
Steven Bowditch (2015),59.39
Webb Simpson (2015),59.2
Aaron Baddeley (2015),59.13
Lee Westwood (2015),59.04
Brandt Snedeker (2015),59.04
Jamie Donaldson (2015),58.97
Jordan Spieth (2015),58.14
Scott Langley (2015),57.94
K.J. Choi (2015),57.29
Jon Curran (2015),57.14
Bill Lunde (2015),56.9
Jonas Blixt (2015),56.64
Sam Saunders (2015),56.64
Michael Putnam (2015),56.56
Zach Johnson (2015),56.25
Ryan Moore (2015),55.86
Rickie Fowler (2015),55.83
Brian Harman (2015),55.8
Kyle Reifers (2015),55.63
James Hahn (2015),55.47
Rory Sabbatini (2015),55.45
Colt Knost (2015),55.34
Carlos Ortiz (2015),55.19
Roberto Castro (2015),54.88
Chris Stroud (2015),54.84
Mark Wilson (2015),54.63
Scott Brown (2015),54.2
Hunter Mahan (2015),54.19
Brian Davis (2015),54.14
Matt Jones (2015),54.04
Chad Campbell (2015),53.91
Tyrone Van Aswegen (2015),53.85
Mark Hubbard (2015),53.78
Brooks Koepka (2015),53.68
George McNeill (2015),53.68
Eric Axley (2015),53.54
D.A. Points (2015),53.49
Cameron Tringale (2015),53.47
Jimmy Walker (2015),53.42
William McGirt (2015),53.42
Daniel Berger (2015),53.38
