Player,Spin Rate OTT
Adam Scott (2019),3404.2
Sergio Garcia (2019),3172.7
Adam Schenk (2019),3165.1
J.B. Holmes (2019),3135.7
Ollie Schniederjans (2019),3105
Roberto Castro (2019),3067.2
Pat Perez (2019),3046.3
Adam Svensson (2019),3030.8
Charley Hoffman (2019),3004
Adam Hadwin (2019),2985.8
Matt Jones (2019),2978.4
Harris English (2019),2962.6
Patrick Reed (2019),2962.6
Russell Knox (2019),2955.9
Alex Noren (2019),2951.4
Peter Uihlein (2019),2948.7
Troy Merritt (2019),2938.9
Tony Finau (2019),2937.8
Robert Streb (2019),2933.4
Bill Haas (2019),2932.3
Kevin Kisner (2019),2930.9
Kevin Tway (2019),2922.3
Hudson Swafford (2019),2904.9
Cameron Tringale (2019),2900.1
Andrew Putnam (2019),2893.8
Scott Piercy (2019),2890.3
Roger Sloan (2019),2884
Wyndham Clark (2019),2879.4
Patton Kizzire (2019),2873.1
Bryson DeChambeau (2019),2870.2
Cameron Davis (2019),2864
Talor Gooch (2019),2859
Aaron Baddeley (2019),2857.9
Max Homa (2019),2854.8
Hank Lebioda (2019),2844.6
Dylan Frittelli (2019),2839.8
Stephan Jaeger (2019),2834.3
Kevin Na (2019),2810.2
Charles Howell III (2019),2809.1
Justin Thomas (2019),2800
Kyle Stanley (2019),2792.3
Luke List (2019),2789.4
Sam Ryder (2019),2787.9
Peter Malnati (2019),2782.1
Hideki Matsuyama (2019),2773.7
Brice Garnett (2019),2772.5
J.J. Henry (2019),2771.7
Carlos Ortiz (2019),2771.4
Sungjae Im (2019),2765
Jason Dufner (2019),2759.7
Abraham Ancer (2019),2759
Corey Conners (2019),2751.1
Emiliano Grillo (2019),2740.1
Jonathan Byrd (2019),2737.8
Paul Casey (2019),2736.7
Vaughn Taylor (2019),2736.5
Tom Hoge (2019),2731.8
Mackenzie Hughes (2019),2731.4
Gary Woodland (2019),2729.4
Graeme McDowell (2019),2728.3
Nick Watney (2019),2728.1
Joel Dahmen (2019),2727.6
Tyler Duncan (2019),2726.6
Cameron Champ (2019),2722.3
Dustin Johnson (2019),2717.2
Joaquin Niemann (2019),2710.7
Kyle Jones (2019),2701
Sebastián Muñoz (2019),2697
Brooks Koepka (2019),2695.7
Matthew Fitzpatrick (2019),2687.9
Chase Wright (2019),2687.6
Rickie Fowler (2019),2682
