Player,Location,Tournament
Emiliano Grillo (2015),California,Frys.com Open
Smylie Kaufman (2015),Nevada,Shriners Hospitals for Children Open
Justin Thomas (2015),Malaysia,CIMB Classic
Russell Knox (2015),China,WGC-HSBC Champions
Peter Malnati (2015),Mississippi,Sanderson Farms Championship
Graeme McDowell (2015),Mexico,OHL Classic at Mayakoba
Kevin Kisner (2015),Georgia,RSM Classic
Jordan Spieth (2015),Hawaii,Hyundai Tournament of Champions
Fabián Gómez (2015),Hawaii,Sony Open in Hawaii
Jason Dufner (2015),California,CareerBuilder Challenge
Brandt Snedeker (2015),California,Farmers Insurance Open
Hideki Matsuyama (2015),Arizona,Waste Management Phoenix Open
Vaughn Taylor (2015),California,AT&T Pebble Beach Pro-Am
Bubba Watson (2015),California,Northern Trust Open
Adam Scott (2015),Florida,The Honda Classic
Adam Scott (2015),Florida,WGC-Cadillac Championship
Charl Schwartzel (2015),Florida,Valspar Championship
Jason Day (2015),Florida,Arnold Palmer Invitational
Jason Day (2015),Texas,WGC-Dell Match Play
Tony Finau (2015),Puerto Rico,Puerto Rico Open
Jim Herman (2015),Texas,Shell Houston Open
Danny Willett (2015),Georgia,Masters Tournament
Branden Grace (2015),South Carolina,RBC Heritage
Charley Hoffman (2015),Texas,Valero Texas Open
Brian Stuard (2015),Louisiana,Zurich Classic of New Orleans
James Hahn (2015),North Carolina,Wells Fargo Championship
Jason Day (2015),Florida,The Players Championship
Sergio García (2015),Texas,AT&T Byron Nelson
Jordan Spieth (2015),Texas,Dean & DeLuca Invitational
William McGirt (2015),Ohio,The Memorial Tournament
Daniel Berger (2015),Tennessee,FedEx St. Jude Classic
Dustin Johnson (2015),Pennsylvania,U.S. Open
Billy Hurley III (2015),Maryland,Quicken Loans National
Dustin Johnson (2015),Ohio,WGC-Bridgestone Invitational
Greg Chalmers (2015),Nevada,Barracuda Championship
Cancelled due to course flooding(2015),West Virginia,Greenbrier Classic
Henrik Stenson (2015),Scotland,"The Open Championship
(British Open)"
Aaron Baddeley (2015),Alabama,Barbasol Championship
Jhonattan Vegas (2015),Ontario,RBC Canadian Open
Jimmy Walker (2015),New Jersey,PGA Championship
Russell Knox (2015),Connecticut,Travelers Championship
Ryan Moore (2015),Illinois,John Deere Classic
Kim Si-woo (2015),North Carolina,Wyndham Championship
Patrick Reed (2015),New York,The Barclays
Rory McIlroy (2015),Massachusetts,Deutsche Bank Championship
Dustin Johnson (2015),Indiana,BMW Championship
Rory McIlroy (2015),Georgia,Tour Championship
Brendan Steele (2016),California,Safeway Open
Justin Thomas (2016),Malaysia,CIMB Classic
Hideki Matsuyama (2016),China,WGC-HSBC Champions
Cody Gribble (2016),Mississippi,Sanderson Farms Championship
Rod Pampling (2016),Nevada,Shriners Hospitals for Children Open
Pat Perez (2016),Mexico,OHL Classic at Mayakoba
Mackenzie Hughes (2016),Georgia,RSM Classic
Justin Thomas (2016),Hawaii,SBS Tournament of Champions
Justin Thomas (2016),Hawaii,Sony Open in Hawaii
Hudson Swafford (2016),California,CareerBuilder Challenge
Jon Rahm (2016),California,Farmers Insurance Open
Hideki Matsuyama (2016),Arizona,Waste Management Phoenix Open
Jordan Spieth (2016),California,AT&T Pebble Beach Pro-Am
Dustin Johnson (2016),California,Genesis Open
Rickie Fowler (2016),Florida,The Honda Classic
Dustin Johnson (2016),Mexico,WGC-Mexico Championship
Adam Hadwin (2016),Florida,Valspar Championship
Marc Leishman (2016),Florida,Arnold Palmer Invitational
Dustin Johnson (2016),Texas,WGC-Dell Technologies Match Play
D. A. Points (2016),Puerto Rico,Puerto Rico Open
Russell Henley (2016),Texas,Shell Houston Open
Sergio García (2016),Georgia,Masters Tournament
Wesley Bryan (2016),South Carolina,RBC Heritage
Kevin Chappell (2016),Texas,Valero Texas Open
Jonas Blixt (2016),Louisiana,Zurich Classic of New Orleans
Brian Harman (2016),North Carolina,Wells Fargo Championship
Kim Si-woo (2016),Florida,The Players Championship
Billy Horschel (2016),Texas,AT&T Byron Nelson
Kevin Kisner (2016),Texas,Dean & DeLuca Invitational
Jason Dufner (2016),Ohio,The Memorial Tournament
Daniel Berger (2016),Tennessee,FedEx St. Jude Classic
Brooks Koepka (2016),Wisconsin,U.S. Open
Jordan Spieth (2016),Connecticut,Travelers Championship
Kyle Stanley (2016),Maryland,Quicken Loans National
Xander Schauffele (2016),West Virginia,Greenbrier Classic
Bryson DeChambeau (2016),Illinois,John Deere Classic
Jordan Spieth (2016),England,The Open Championship (British Open)
Grayson Murray (2016),Alabama,Barbasol Championship
Jhonattan Vegas (2016),Ontario,RBC Canadian Open
Hideki Matsuyama (2016),Ohio,WGC-Bridgestone Invitational
Chris Stroud (2016),Nevada,Barracuda Championship
Justin Thomas (2016),North Carolina,PGA Championship
Henrik Stenson (2016),North Carolina,Wyndham Championship
Dustin Johnson (2016),New York,The Northern Trust
Justin Thomas (2016),Massachusetts,Dell Technologies Championship
Marc Leishman (2016),Illinois,BMW Championship
Xander Schauffele (2016),Georgia,Tour Championship
Brendan Steele (2017),California,Safeway Open
Justin Thomas (2017),Malaysia,CIMB Classic
Hideki Matsuyama (2017),China,WGC-HSBC Champions
Cody Gribble (2017),Mississippi,Sanderson Farms Championship
Rod Pampling (2017),Nevada,Shriners Hospitals for Children Open
Pat Perez (2017),Mexico,OHL Classic at Mayakoba
Mackenzie Hughes (2017),Georgia,RSM Classic
Justin Thomas (2017),Hawaii,SBS Tournament of Champions
Justin Thomas (2017),Hawaii,Sony Open in Hawaii
Hudson Swafford (2017),California,CareerBuilder Challenge
Jon Rahm (2017),California,Farmers Insurance Open
Hideki Matsuyama (2017),Arizona,Waste Management Phoenix Open
Jordan Spieth (2017),California,AT&T Pebble Beach Pro-Am
Dustin Johnson (2017),California,Genesis Open
Rickie Fowler (2017),Florida,The Honda Classic
Dustin Johnson (2017),Mexico,WGC-Mexico Championship
Adam Hadwin (2017),Florida,Valspar Championship
Marc Leishman (2017),Florida,Arnold Palmer Invitational
Dustin Johnson (2017),Texas,WGC-Dell Technologies Match Play
D. A. Points (2017),Puerto Rico,Puerto Rico Open
Russell Henley (2017),Texas,Shell Houston Open
Sergio García (2017),Georgia,Masters Tournament
Wesley Bryan (2017),South Carolina,RBC Heritage
Kevin Chappell (2017),Texas,Valero Texas Open
Jonas Blixt (2017),Louisiana,Zurich Classic of New Orleans
Brian Harman (2017),North Carolina,Wells Fargo Championship
Kim Si-woo (2017),Florida,The Players Championship
Billy Horschel (2017),Texas,AT&T Byron Nelson
Kevin Kisner (2017),Texas,Dean & DeLuca Invitational
Jason Dufner (2017),Ohio,The Memorial Tournament
Daniel Berger (2017),Tennessee,FedEx St. Jude Classic
Brooks Koepka (2017),Wisconsin,U.S. Open
Jordan Spieth (2017),Connecticut,Travelers Championship
Kyle Stanley (2017),Maryland,Quicken Loans National
Xander Schauffele (2017),West Virginia,Greenbrier Classic
Bryson DeChambeau (2017),Illinois,John Deere Classic
Jordan Spieth (2017),England,The Open Championship (British Open)
