"DATE","CATEGORY","PUZZLE","L1","L2","L3","L4","L5","WIN"
2007-01-01,"Phrase","I APPROVE","M","H","C","A",NA,"Yes"
2007-01-02,"Event","BUYING BOOKS","B","D","M","A",NA,"No"
2007-01-03,"Thing","A BIG HINT","G","D","M","A",NA,"Yes"
2007-01-04,"Event","HUGE OVATION","C","D","G","A",NA,"No"
2007-01-05,"Thing","KEYPAD","C","D","M","O",NA,"No"
2007-01-08,"Thing","SOLID ALIBI","D","M","C","A",NA,"No"
2007-01-09,"Phrase","GIVE ME A BREAK","B","C","M","O",NA,"Yes"
2007-01-10,"On the Map","PARK CITY UTAH","P","W","M","O",NA,"No"
2007-01-11,"Thing","BEIGE JACKET","C","B","F","A",NA,"Yes"
2007-01-12,"Things","FLEXIBLE HOURS","M","B","D","A",NA,"No"
2007-01-15,"Thing","MAILBOX","M","H","P","A",NA,"No"
2007-01-16,"Phrase","WIT & WISDOM","C","P","M","O",NA,"Yes"
2007-01-17,"Phrase","LOOK SHARP","D","M","P","A",NA,"No"
2007-01-18,"Phrase","POKING FUN","M","C","D","I",NA,"No"
2007-01-19,"Phrase","BADGE OF HONOR","D","H","P","A",NA,"Yes"
2007-01-22,"Phrase","WORK OUT THE KINKS","M","D","C","O",NA,"No"
2007-01-23,"Phrase","GOOD POINT","C","M","D","A",NA,"No"
2007-01-24,"Food & Drink","CRISPY BACON","P","C","W","O",NA,"Yes"
2007-01-25,"Phrase","DEAD GIVEAWAY","D","M","G","I",NA,"Yes"
2007-01-26,"Person","GOURMET COOK","C","D","H","A",NA,"Yes"
2007-01-29,"Thing","BABY SHAMPOO","D","M","H","A","P","No"
2007-01-30,"Phrase","SHOW ME HOW","H","M","P","A","B","Yes"
2007-01-31,"Food & Drink","GRAPE JUICE","G","P","M","A",NA,"Yes"
2008-01-01,"Phrase","AS YOU WISH","H","C","M","I",NA,"Yes"
2008-01-02,"Things","DOG BISCUITS","B","D","M","A",NA,"Yes"
2008-01-03,"Thing","FOOT MASSAGE","B","C","M","O",NA,"Yes"
2008-01-04,"Place","HAYLOFT","G","P","H","O","B","No"
2008-01-07,"Around the House","BODY WASH","H","M","P","A",NA,"No"
2008-01-08,"Things","PEAK HOURS","C","M","W","A",NA,"No"
2008-01-09,"What Are You Doing?","FIXING A SNACK","M","C","G","A",NA,"Yes"
2008-01-10,"Event","JOB FAIR","C","D","G","A",NA,"No"
2008-01-11,"Thing","VOCABULARY","D","P","C","A",NA,"No"
2008-01-14,"Phrase","JOIN THE CLUB","H","J","C","A","B","Yes"
2008-01-15,"Proper Name","WAYNE BRADY","C","D","M","A",NA,"Yes"
2008-01-16,"Phrase","OVER MY HEAD","F","D","C","O",NA,"Yes"
2008-01-17,"What Are You Doing?","GOOFING OFF","D","H","P","A","C","No"
2008-01-18,"Food & Drink","KETCHUP","C","K","P","U",NA,"Yes"
2008-01-21,"Thing","CLOGGED PIPE","B","F","M","A",NA,"No"
2008-01-22,"Person","BOXING FAN","C","H","B","I",NA,"No"
2008-01-23,"Fun & Games","FIELD HOCKEY","D","M","C","O",NA,"Yes"
2008-01-24,"Phrase","MAYBE I WILL","P","C","M","A",NA,"Yes"
2008-01-25,"Place","IRISH PUB","C","B","D","A","P","Yes"
2008-01-28,"Food & Drink","BRICK OVEN PIZZA","C","H","M","I",NA,"Yes"
2008-01-29,"On the Map","QUEBEC CANADA","D","M","H","O",NA,"No"
2008-01-30,"Things","CLOUDS AND FOG","C","P","D","A",NA,"Yes"
2008-01-31,"Fictional Characters","HAPPY & GRUMPY","C","G","M","A","D","No"
2009-01-01,"Food & Drink","CHEWY LICORICE","C","D","B","I",NA,"Yes"
2009-01-02,"On the Map","YUMA & PHOENIX","C","P","D","I",NA,"No"
2009-01-05,"Phrase","ABOVE AVERAGE","P","C","D","A",NA,"No"
2009-01-06,"Place","HUMBLE ABODE","C","D","W","A",NA,"No"
2009-01-07,"Person","SLOWPOKE","M","F","C","A",NA,"No"
2009-01-08,"Phrase","FAIR ENOUGH","H","M","C","A",NA,"No"
2009-01-09,"Living Thing","YOUNG PUP","M","D","P","A",NA,"Yes"
2009-01-12,"Things","KILOGRAMS","C","D","P","O",NA,"No"
